"id","session_id","agent_id","user_input","final_output","run_name","total_tokens","total_cost","latency_ms","is_successful","error_message","system_prompt_snapshot","model_config_snapshot","tags","environment","created_at","completed_at","updated_at"
"041d6b06-ec9e-49c2-b507-43238b3895dc","f5e3cfb6-c0de-495f-8cde-fb121e7eeea1","1e5fd039-9e9b-49e9-b196-7c50a5fb253d","gAAAAABpYjJw3Y4QDB6dTIo1qdEkv6YgcZsW5H-NgklXPNZA0FJmskrRNEqZ3rJ1tdCWRTlbeNhDoQeJ60vshFUk19JKpkQf0OB3ing50LjmfjO0b-XniBI82Fi1dhnR5Rd0lFNfIzBp","gAAAAABpYjKFtwRNnY6edXZ3MgzHPovPv-XMwyQ7sc76wm8_KxWPpKf_QOs0DUs6vPhycjhVlZMk2KqDrgIk-Viz-8V-KiXSZ7FNC5A7DelSO4wMXdCWfmMdvoD-9w6u3KouWQRUiaaaD4vdK-kgEzFnsdAW6tdls7AypWzRUUXfHjqOAQqAWp5NFRKQ-bAicvqZYzvtdQCbtB8C4Kcp3awNEabCdAt0eOcL088jJ7vClFEURKQ6PHc=","chat_turn","393","0.000041","17429","true",,"You are a helpful assistant with access to a Calculator tool. You MUST output your response in strict JSON format. Your JSON object must contain: ""thought"" (reasoning), ""action"" (tool name or ""final_answer""), and ""args"" (tool arguments).","{""model"":""gemini-2.5-flash"",""temperature"":0.1}","[]","production","2026-01-10 11:05:21.111903+00","2026-01-10 11:05:41.157416","2026-01-10 11:05:42.038625+00"
"09f4bf34-64e4-4b3b-975d-2a85b231075b","9f29bfd9-b713-468b-be01-63c19469f98e","1e5fd039-9e9b-49e9-b196-7c50a5fb253d","gAAAAABpYKasdYX9ECyEKUearKW9mBmjgF5AaQAR8a1oNuyfd-cu_xhhzFge2jKnNNaPyj6un1vu1oZ2yOCTg8OtNLkwKvXNAQ==","gAAAAABpYKasHYJEtJf16jAKWOv6VRKe4G4Bray5DPGJYAXr52Dr5uojfgO1_Inu8TrMLRmuuw3Zb3IiPNJ6l9kScWVMgbiSUO7Fn9pYOTh_10WkaLlPcJA=","chat_turn","0","0.000000","0","true",,,,"[]","production","2026-01-09 05:46:34.179452+00",,"2026-01-09 05:46:47.638485+00"
"0bffe5d2-5a2d-4393-8464-c14078094cff","f67e1ae0-3921-4fef-a2f5-a0108caab3ad","1e5fd039-9e9b-49e9-b196-7c50a5fb253d","gAAAAABpYOZ1FPZATYAiUF5NaPxuFJ3wU5JFyYVPZIRf0-PQfSKKleyDB7xF9hbITmHwsZD-odNoViLD8SvoETnkQkGu2JZKVw==","gAAAAABpYOZ5iFHb5s_8vQ2zJi3dSeRz9Hn9FsxjEjrPcJ-lutqJXAzl0bWzgcNKsV3WXPhknsPtZlV9NbBmu5LZ5rL7N0BDSFKwCf9zoaNXrOpqJS-B4IqOBSiCv8gHeMDTiHvvPxLv","chat_turn","0","0.000000","0","true",,,,"[]","production","2026-01-09 11:28:54.966617+00",,"2026-01-09 11:28:59.311342+00"
"0c10ae05-e431-4003-884f-7ec486debcb4","333aa62c-f167-4063-bb14-7098f8316a3b","1e5fd039-9e9b-49e9-b196-7c50a5fb253d","gAAAAABpYLStawLbXjFIrhVlT8IPzEMor4PjClE1QyQTi7Ykw-NqFMnLR6zFW4mR29hddkKelr5pYqdBpjvNlbkwXI08yuU8AA==",,"chat_turn","0","0.000000","0","false",,,,"[]","production","2026-01-09 07:56:31.471768+00",,"2026-01-09 07:56:32.985808+00"
"10a7b33f-ab39-4fdd-9c9d-de0c6203e25e","074dd545-4999-4771-8f0c-53f8844851c3","1e5fd039-9e9b-49e9-b196-7c50a5fb253d","gAAAAABpYKvZ4HHGPq8FT-PdhuST3FFnB7XC7glaRmcD9M7GP71SYgGuQpJ8ZPaYRRwxmwSlv0j438da-D5y1WGfRENUIC-azg==",,"chat_turn","0","0.000000","0","false",,,,"[]","production","2026-01-09 07:18:50.802035+00",,"2026-01-09 07:18:52.349218+00"
"17d0787b-6359-4850-8758-7ea355d2eb93","c9d4a83c-e6a2-4083-896a-ab3a841db75a","1e5fd039-9e9b-49e9-b196-7c50a5fb253d","gAAAAABpYLFvkZsf82PQ5oSEiyk-6jFfSQRqkfJR5vWejclWZr50337xVkp85MeahlX5DJQh8pmOyOmFUl5VtuCUv1t9rs_0EQ==",,"chat_turn","0","0.000000","0","true",,,,"[]","production","2026-01-09 07:42:40.961733+00",,"2026-01-09 07:42:40.961733+00"
"18e381de-da58-4b9a-9461-3426dee1e4da","f67e1ae0-3921-4fef-a2f5-a0108caab3ad","1e5fd039-9e9b-49e9-b196-7c50a5fb253d","gAAAAABpYOv8fO-LodUPn-t8Z_qyQHHYfCS_ddhBB_whdDogV6UW5ZPtHKVrHBpcmCF1kgVlZzKZs3EOlE2FH9iSxUmW9KzhFXgWrKm5bJWeEuidYBAHVow=","gAAAAABpYOwBr3o19OEDrCfdZQRtIjsZRHKJiaZBLKYLHMKagaOOfZN6p-K4IBKGbuZTvpfeQBWTmjk58MvhwhDFLrpCeW34a0g9vvKkdIBzkdmH0LOUjMCsdi1LnMHpZvj68ksGwmjEN2zSnmix3bwY-TZRkvZaAQ==","chat_turn","0","0.000000","0","true",,,,"[]","production","2026-01-09 11:52:29.850401+00",,"2026-01-09 11:52:35.89454+00"
"20322987-9fa0-42cd-a8d0-4943ca1c2170","e54dd890-eb69-4761-8336-42e7683cb7a5","1e5fd039-9e9b-49e9-b196-7c50a5fb253d","gAAAAABpYLaDd7msYLkZx2FI9qGGguL7HVzZKcS9zY3a4htGtWljEEC1-RGnFiTjsjgBcd91TJAEjgVRxZroL1hp-S2PkhCKdg==","gAAAAABpYLaIxPlZcBgsWYqqNSuGaDGHgRZU5r6wpO12lM8Q_en7AJ-RLrr1cL_C2wFo3QX66Fp_EtFyO9nej-SV9aXZCTcL_0OQjp6eqlmNMZHT-oLtMK7K0fiD6aOOWnj-4Mt9gdHu","chat_turn","0","0.000000","0","true",,,,"[]","production","2026-01-09 08:04:21.159539+00",,"2026-01-09 08:04:26.334364+00"
"205ff03b-d4b1-4c36-8b88-2353381f66aa","dfe16128-4833-401b-8cdf-f2344b92fa67","1e5fd039-9e9b-49e9-b196-7c50a5fb253d","gAAAAABpYK9-gXhWJvt8DjZ8OUTvqyNMR0XDEkeGJ7EPJUoflfgwaIaThCbEFWNAv7eVj1339tFB7fL-VaEtKSSoQhbZ_d9mvw==",,"chat_turn","0","0.000000","0","false",,,,"[]","production","2026-01-09 07:34:23.818978+00",,"2026-01-09 07:34:25.406232+00"
"20923e65-cfa6-4681-b57d-fe6210e72c46","f5e3cfb6-c0de-495f-8cde-fb121e7eeea1","1e5fd039-9e9b-49e9-b196-7c50a5fb253d","gAAAAABpYh65kwyJTD2qKqWTG6DrDC4qir06u9Ntq7ioMdPtgJkp72rnWC_BnhItVfwgOp_FyckUsaeHiUTwPwbIQS0vSF8DWg==","gAAAAABpYh7N1_3Eago9UayNw7HZ3fSkB827SbrDKOhwvYF5WrTErz-d5A8FYqkqBFfer5zniiWPaByKbD1wWq8ge5CAu_ESiFW1aD6LfepRr5EWFylcFYE=","chat_turn","446","0.000040","16874","true",,"You are a helpful assistant with access to a Calculator tool. You MUST output your response in strict JSON format. Your JSON object must contain: ""thought"" (reasoning), ""action"" (tool name or ""final_answer""), and ""args"" (tool arguments).","{""model"":""gemini-2.5-flash"",""temperature"":0.1}","[]","production","2026-01-10 09:41:13.654784+00","2026-01-10 09:41:33.667405","2026-01-10 09:41:34.410839+00"
